Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
CML69/B73 NIL-1239B,CML69,1,0,0,1,CML69
Ki11/B73 NIL-1001,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1006,Ki11,4,0,0,1,Ki11
Ki11/B73 NIL-1015,Ki11,4,0,0,1,Ki11
Ki11/B73 NIL-1018,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1032,Ki11,3,0,0,1,Ki11
Ki11/B73 NIL-1038,Ki11,2,2,0,2,NC358/B73
Ki11/B73 NIL-1039A,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1039B,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1046,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1054,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1059,Ki11,5,0,1,1,Ki11
Ki11/B73 NIL-1062A,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1063,Ki11,3,0,0,1,Ki11
Ki11/B73 NIL-1066,Ki11,4,0,0,1,Ki11
Ki11/B73 NIL-1080,Ki11,2,0,0,1,Ki11
Ki11/B73 NIL-1081,Ki11,1,0,0,1,Ki11
Ki11/B73 NIL-1086,Ki11,2,0,0,1,Ki11
Ki11/B73 NIL-1090,Ki11,2,0,1,1,Ki11
Ki11/B73 NIL-1097A,Ki11,2,0,0,1,Ki11
Ki11/B73 NIL-1097B,Ki11,2,0,0,1,Ki11
