Line,ped.donor,best.matches,all.intros.match.ped,N.blocks.unfiltered,Total.Intro.Sizes.Unfiltered,Total.Intro.Prop.Unfiltered,N.blocks.filtered,N.mismatch.blocks,N.NA.blocks,N.donor.matches
Ki3/B73 NIL-1237,Ki3,Ki3,TRUE,2,16843732,0.00794515660377359,2,0,0,1
Ki3/B73 NIL-1240,Ki3,NA,FALSE,2,590744,0.000278652830188679,NA,NA,NA,NA
Ki3/B73 NIL-1244,Ki3,Mo17,FALSE,1,6228934,0.00293817641509434,1,1,0,1
Ki3/B73 NIL-1258,Ki3,Ki11,FALSE,8,61598903.5,0.0290560865566038,5,5,0,1
Ki3/B73 NIL-1267,Ki3,NA,FALSE,2,3152719.5,0.00148713183962264,NA,NA,NA,NA
M162W/B73 NIL-1005,M162W,M162W,TRUE,2,12759130.5,0.00601845778301887,2,0,0,1
M162W/B73 NIL-1013,M162W,M162W,TRUE,3,126262592.5,0.0595578266509434,2,0,0,1
M162W/B73 NIL-1018,M162W,M162W,TRUE,2,8628462,0.00407002924528302,2,0,0,1
M162W/B73 NIL-1044,M162W,M162W,TRUE,2,18278270.5,0.00862182570754717,2,0,0,1
M162W/B73 NIL-1050,M162W,M162W,TRUE,4,46887844,0.0221169075471698,3,0,0,1
M162W/B73 NIL-1056,M162W,M162W,TRUE,3,16279924.5,0.00767920966981132,2,0,0,1
M162W/B73 NIL-1058,M162W,M162W,TRUE,4,61997152,0.0292439396226415,3,0,0,1
M162W/B73 NIL-1089,M162W,M162W,TRUE,2,161608998.5,0.0762306596698113,2,0,0,1
M162W/B73 NIL-1105,M162W,M162W,TRUE,2,37179111.5,0.017537316745283,2,0,0,1
M162W/B73 NIL-1120,M162W,M162W,TRUE,3,22950757.5,0.010825829009434,3,0,0,1
M162W/B73 NIL-1136,M162W,M162W,TRUE,3,138011724,0.0650998698113208,2,0,0,1
M162W/B73 NIL-1160,M162W,M162W,TRUE,3,27331938.5,0.0128924238207547,2,0,0,1
M162W/B73 NIL-1201,M162W,M162W,TRUE,2,45753634.5,0.0215819030660377,2,0,0,1
M162W/B73 NIL-1207,M162W,M162W,TRUE,3,13409520,0.00632524528301887,2,0,0,1
M162W/B73 NIL-1232,M162W,M162W,TRUE,2,112700905.5,0.0531608044811321,2,0,0,1
M162W/B73 NIL-1233,M162W,M162W,TRUE,3,106942494,0.0504445726415094,3,0,0,1
M162W/B73 NIL-1247,M162W,M162W,TRUE,2,19843531,0.00936015613207547,2,0,0,1
M162W/B73 NIL-1254,M162W,M162W,TRUE,3,146122745.5,0.0689258233490566,2,0,0,1
Mo17/B73 NIL-1015,Mo17,Mo17,TRUE,1,5992261.5,0.00282653844339623,1,0,0,1
Mo17/B73 NIL-1035,Mo17,Mo17,TRUE,3,9685970.5,0.00456885400943396,1,0,0,1
Mo17/B73 NIL-1076,Mo17,Mo17,TRUE,2,14220940.5,0.00670799080188679,1,0,0,1
Mo17/B73 NIL-1114,Mo17,Mo17,TRUE,2,52823990,0.0249169764150943,2,0,0,1
Mo17/B73 NIL-1163,Mo17,Mo17,TRUE,5,32628492,0.0153907981132075,3,0,0,1
Mo17/B73 NIL-1209,Mo17,Mo17,TRUE,4,15743918.5,0.0074263766509434,2,0,1,1
Mo17/B73 NIL-1213,Mo17,Mo17,TRUE,1,17987108.5,0.00848448514150943,1,0,0,1
Mo17/B73 NIL-1214,Mo17,Mo17,TRUE,3,4370838.5,0.00206171627358491,1,0,0,1
Mo17/B73 NIL-1215,Mo17,Mo17,TRUE,6,18375798.5,0.00866782948113208,3,0,0,1
Mo17/B73 NIL-1217,Mo17,Mo17,TRUE,1,6247501.5,0.00294693466981132,1,0,0,1
Mo17/B73 NIL-1218,Mo17,Mo17,TRUE,1,5416018.5,0.00255472570754717,1,0,0,1
