,Line,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches
439,Mo18W/B73 NIL-1109,2,0,0,1
440,Mo18W/B73 NIL-1115,1,0,0,1
441,Mo18W/B73 NIL-1116A,2,0,0,1
442,Mo18W/B73 NIL-1116B,2,0,0,1
443,Mo18W/B73 NIL-1117,2,0,1,1
444,Mo18W/B73 NIL-1118,1,0,0,1
445,Mo18W/B73 NIL-1120,1,0,0,1
446,Mo18W/B73 NIL-1121,1,0,0,1
447,Mo18W/B73 NIL-1127,1,0,0,1
448,Mo18W/B73 NIL-1130,3,0,2,1
449,Mo18W/B73 NIL-1131,1,0,0,1
450,Mo18W/B73 NIL-1135,1,0,0,1
451,Mo18W/B73 NIL-1138,3,0,0,1
452,Mo18W/B73 NIL-1145,3,0,0,1
453,Mo18W/B73 NIL-1147,1,0,0,1
454,Mo18W/B73 NIL-1149B,3,0,0,1
455,Mo18W/B73 NIL-1149C,3,0,0,1
456,Mo18W/B73 NIL-1152,1,0,0,1
457,Mo18W/B73 NIL-1154,2,0,0,1
458,Mo18W/B73 NIL-1156,2,0,0,1
459,Mo18W/B73 NIL-1159,1,0,0,1
460,Mo18W/B73 NIL-1164,1,0,0,1
461,NC350/B73 NIL-1005,2,0,0,1
462,NC350/B73 NIL-1006,2,0,0,1
463,NC350/B73 NIL-1042,1,0,0,1
464,NC350/B73 NIL-1056,3,0,0,1
465,NC350/B73 NIL-1073A,3,0,0,1
466,NC350/B73 NIL-1077,1,0,0,1
467,NC350/B73 NIL-1079,1,0,0,1
468,NC350/B73 NIL-1080,3,0,0,1
469,NC350/B73 NIL-1090,2,0,0,1
470,NC350/B73 NIL-1097A,1,0,0,1
471,NC350/B73 NIL-1105,3,0,0,1
472,NC350/B73 NIL-1123,2,0,0,1
473,NC350/B73 NIL-1140,2,0,0,1
474,NC350/B73 NIL-1155,1,0,0,1
475,NC350/B73 NIL-1165,4,0,0,1
476,NC350/B73 NIL-1169,2,0,0,1
477,NC350/B73 NIL-1179,1,0,0,1
478,NC350/B73 NIL-1180,2,0,1,1
479,NC350/B73 NIL-1192,1,0,0,1
480,NC350/B73 NIL-1196,2,0,0,1
481,NC350/B73 NIL-1207,3,0,0,1
482,NC350/B73 NIL-1210,3,0,3,0
483,NC350/B73 NIL-1232,2,0,0,1
484,NC350/B73 NIL-1240,2,0,0,1
485,NC350/B73 NIL-1242,3,0,3,0
486,NC350/B73 NIL-1246,3,0,0,1
487,NC350/B73 NIL-1250,2,0,0,1
488,NC350/B73 NIL-1270,1,0,0,1
489,NC350/B73 NIL-1272,4,0,1,1
490,NC358/B73 NIL-1008,4,0,0,1
491,NC358/B73 NIL-1009,2,0,0,1
492,NC358/B73 NIL-1017,1,0,0,1
493,NC358/B73 NIL-1018,2,0,0,1
494,NC358/B73 NIL-1058,2,0,0,1
495,NC358/B73 NIL-1059B,1,0,0,1
496,NC358/B73 NIL-1069,1,0,0,1
497,NC358/B73 NIL-1104,1,0,0,1
498,NC358/B73 NIL-1134,2,0,0,1
499,NC358/B73 NIL-1145,5,0,1,1
500,NC358/B73 NIL-1146,3,0,0,1
501,NC358/B73 NIL-1156,1,0,0,1
502,NC358/B73 NIL-1164,1,0,0,1
503,NC358/B73 NIL-1188,1,0,0,1
504,NC358/B73 NIL-1189A,1,0,0,1
505,NC358/B73 NIL-1192A,2,0,0,1
506,NC358/B73 NIL-1192B,1,0,0,1
507,NC358/B73 NIL-1211,1,0,1,0
508,NC358/B73 NIL-1227,2,0,0,1
509,NC358/B73 NIL-1236,1,0,0,1
510,NC358/B73 NIL-1238A,2,0,0,1
511,Oh43/B73 NIL-1013,1,0,0,1
512,Oh43/B73 NIL-1023A,2,0,2,0
513,Oh43/B73 NIL-1026,2,0,0,1
514,Oh43/B73 NIL-1028,1,0,0,1
515,Oh43/B73 NIL-1037,2,0,0,1
516,Oh43/B73 NIL-1046,3,0,0,1
517,Oh43/B73 NIL-1056,2,0,2,0
518,Oh43/B73 NIL-1059A,1,0,0,1
519,Oh43/B73 NIL-1068,1,0,1,0
520,Oh43/B73 NIL-1073,1,0,0,1
521,Oh43/B73 NIL-1100,1,0,1,0
522,Oh43/B73 NIL-1108,1,0,0,1
523,Oh43/B73 NIL-1157,2,0,0,1
524,Oh43/B73 NIL-1172A,2,0,1,1
525,Oh43/B73 NIL-1173A,3,0,1,1
526,Oh43/B73 NIL-1173B,2,0,0,1
527,Oh43/B73 NIL-1175A,2,0,0,1
528,Oh43/B73 NIL-1175B,2,0,1,1
529,Oh43/B73 NIL-1182,2,0,0,1
530,Oh43/B73 NIL-1197,1,0,0,1
531,Oh43/B73 NIL-1211,4,0,3,1
532,Oh43/B73 NIL-1218,4,0,0,1
533,Oh43/B73 NIL-1231,5,0,1,1
534,Oh43/B73 NIL-1235,2,0,0,1
535,Oh43/B73 NIL-1236A,1,0,0,1
536,Oh43/B73 NIL-1236B,2,0,0,1
537,Oh43/B73 NIL-1255,1,0,0,1
538,Oh43/B73 NIL-1270,1,0,0,1
539,Oh43/B73 NIL-1281,1,0,1,0
540,Oh43/B73 NIL-1284,2,0,0,1
541,Oh43/B73 NIL-1285,2,0,1,1
542,Oh43/B73 NIL-1313,1,0,0,1
543,Tx303/B73 NIL-1028,2,0,0,1
544,Tx303/B73 NIL-1030,1,0,0,1
545,Tx303/B73 NIL-1037,2,0,0,1
546,Tx303/B73 NIL-1062,3,0,0,1
547,Tx303/B73 NIL-1077,2,0,0,1
548,Tx303/B73 NIL-1079A,3,0,0,1
549,Tx303/B73 NIL-1079B,4,0,0,1
550,Tx303/B73 NIL-1102,2,0,0,1
551,Tx303/B73 NIL-1104,1,0,0,1
552,Tx303/B73 NIL-1107,5,0,0,1
553,Tx303/B73 NIL-1111,5,0,0,1
554,Tx303/B73 NIL-1122,2,0,1,1
555,Tx303/B73 NIL-1123,3,0,0,1
556,Tx303/B73 NIL-1133,3,0,0,1
557,Tx303/B73 NIL-1166,5,0,0,1
558,Tx303/B73 NIL-1178,2,0,0,1
559,Tx303/B73 NIL-1186,2,0,0,1
560,Tx303/B73 NIL-1187,2,0,1,1
561,Tx303/B73 NIL-1193,2,0,1,1
562,Tx303/B73 NIL-1203,1,0,0,1
