nir,germ,gert,p,r,mismatchMin,mismatchMean,mismatchMax,NILhomozIntroMean,NILhetMean,PercNILsNoIntro
0.001,0.01,0.0001,0.75,0.00046771955535460937,0.0001361174877862146,0.0017808704652029746,0.0076115427629642705,0.013069513519693592,0.0007503001200480191,0.0
0.001,0.01,0.0001,0.75,0.0009354391107092187,0.0001361174877862146,0.0017808704652029746,0.007622579316028018,0.013080556898083911,0.0007717372663351055,0.0
0.001,0.01,0.0001,0.9,0.00023385977767730469,0.0001361174877862146,0.0017802573233660997,0.007622579316028018,0.01310004521289035,0.0007015793330319141,0.0
0.001,0.01,0.0001,0.9,0.00046771955535460937,0.0001361174877862146,0.0017761186159671947,0.007622579316028018,0.01318384496655805,0.0007386071311641538,0.0
0.001,0.01,0.0001,0.9,0.0009354391107092187,0.0001361174877862146,0.0017653886338218846,0.007659367826240509,0.013626879323157834,0.000758745056464144,0.0
0.001,0.01,0.001,0.1,0.00023385977767730469,0.0001434751898287127,0.001837739370573116,0.007552681146624287,0.011344148048829923,0.0013518394370735307,0.0
0.001,0.01,0.001,0.1,0.00046771955535460937,0.0001434751898287127,0.0018385057978692095,0.007552681146624287,0.011338951164881537,0.001353788268554175,0.0
0.001,0.01,0.001,0.1,0.0009354391107092187,0.0001434751898287127,0.0018277758157239,0.007563717699688033,0.011654661864745898,0.001364182036450944,0.0
0.001,0.01,0.001,0.25,0.00023385977767730469,0.0001434751898287127,0.001834520375929523,0.0075232503384542945,0.011386372730910546,0.0011134323859413894,0.0
0.001,0.01,0.001,0.25,0.00046771955535460937,0.0001434751898287127,0.0018360532305217103,0.007530608040496792,0.011360388311168623,0.0011615035624639467,0.0
0.001,0.01,0.001,0.25,0.0009354391107092187,0.00013243863676496557,0.0017670747738732905,0.007629937018070516,0.013390421103506337,0.0011822910982574849,0.0
0.001,0.01,0.001,0.5,0.00023385977767730469,0.0001434751898287127,0.0018286955284792124,0.007512213785390547,0.011456530664213737,0.0008094146749608933,0.0
0.001,0.01,0.001,0.5,0.00046771955535460937,0.0001361174877862146,0.0017876150254085975,0.007607863911943021,0.012819413479677584,0.0008217572743383067,0.0
0.001,0.01,0.001,0.5,0.0009354391107092187,0.0001361174877862146,0.0017865420271940668,0.007622579316028018,0.013031186500574254,0.0010991409550833323,0.0
0.001,0.01,0.001,0.75,0.00023385977767730469,0.00013243863676496557,0.001759563786371574,0.0076152216139855206,0.013471622415199844,0.0007788829817641342,0.0
0.001,0.01,0.001,0.75,0.00046771955535460937,0.0001361174877862146,0.0017816368924990682,0.0076115427629642705,0.013067564688212949,0.0008016193490383165,0.0
0.001,0.01,0.001,0.75,0.0009354391107092187,0.0001361174877862146,0.0017824033197951616,0.007626258167049267,0.013072761572161334,0.000812662727428634,0.0
0.001,0.01,0.001,0.9,0.00023385977767730469,0.0001361174877862146,0.0017802573233660997,0.007622579316028018,0.013094848328941965,0.000730811805241577,0.0
0.001,0.01,0.001,0.9,0.00046771955535460937,0.0001361174877862146,0.0017761186159671947,0.007622579316028018,0.013178648082609665,0.0007697884348544613,0.0
0.001,0.01,0.001,0.9,0.0009354391107092187,0.0001361174877862146,0.0017655419192811033,0.007663046677261758,0.01362493049167719,0.0007970720755834801,0.0
0.001,0.01,0.01,0.1,0.00023385977767730469,0.0001434751898287127,0.0018383525124099907,0.007574754252751781,0.011329856617971866,0.0014460329586380005,0.0
0.001,0.01,0.01,0.1,0.00046771955535460937,0.0001434751898287127,0.0018401919379206152,0.007574754252751781,0.011326608565504123,0.0015441241431637589,0.0
