Line,putative.donor,max.match,founder.match,min.others,mean.others,max.others,sd.others,B73,CML103,CML228,CML247,CML277,CML322,CML333,CML52,CML69,KI3,Ki11,M162W,Mo17,Mo18W,NC350,NC358,Oh43,Tx303,Tzi8
CML103/B73 NIL-1113,CML103,0.928571428571429,Tzi8,0.642289348171701,0.684273009683451,0.720062208398134,0.0193044792022186,0.720062208398134,0.661858974358974,0.683279742765273,0.688442211055276,0.680921052631579,0.678571428571429,0.685990338164251,0.694942903752039,0.677471636952998,0.707395498392283,0.672609400324149,0.683042789223455,0.642289348171701,0.696969696969697,0.708126036484245,0.704809286898839,0.664,0.666131621187801,0.928571428571429
CML103/B73 NIL-1114,CML103,0.975274725274725,Tzi8,0.656862745098039,0.683851288995143,0.7025,0.0142290755830166,0.656862745098039,0.685929648241206,0.691729323308271,0.700258397932817,0.667532467532468,0.694444444444444,0.683937823834197,0.696103896103896,0.687022900763359,0.701754385964912,0.7025,0.666666666666667,0.660049627791563,0.691709844559586,0.668449197860963,0.683804627249357,0.683544303797468,0.687022900763359,0.975274725274725
CML103/B73 NIL-1116,CML103,0.892857142857143,Tzi8,0.633333333333333,0.681820162875681,0.730569948186529,0.0254502614636915,0.702031602708804,0.679906542056075,0.675233644859813,0.705314009661836,0.641463414634146,0.687657430730479,0.676056338028169,0.671462829736211,0.682464454976303,0.692671394799054,0.713953488372093,0.633333333333333,0.672985781990521,0.730569948186529,0.703703703703704,0.688564476885645,0.641025641025641,0.674364896073903,0.892857142857143
CML103/B73 NIL-1129,CML103,0.939163498098859,CML103,0.65402124430956,0.677788577204709,0.723241590214067,0.0197802511886776,0.723241590214067,0.939163498098859,0.674822415153907,0.667977970102282,0.684621389539422,0.702564102564103,0.677521842732327,0.66923736075407,0.656225528582616,0.681498829039813,0.673047473200613,0.655572755417957,0.654434250764526,0.659109311740891,0.695275590551181,0.708722741433022,0.65402124430956,0.679230769230769,0.683069224353628
CML103/B73 NIL-1141,CML103,0.835526315789474,Tzi8,0.538011695906433,0.664165769271582,0.734177215189873,0.047888003460349,0.609467455621302,0.676829268292683,0.642424242424242,0.695652173913043,0.664670658682635,0.701388888888889,0.63855421686747,0.728395061728395,0.705521472392638,0.652694610778443,0.648809523809524,0.664670658682635,0.538011695906433,0.62111801242236,0.658385093167702,0.734177215189873,0.652694610778443,0.721518987341772,0.835526315789474
CML103/B73 NIL-1146,CML103,0.716463414634146,Uncertain,0.614958448753463,0.65151326518557,0.706849315068493,0.0223645638273659,0.655737704918033,0.652054794520548,0.654285714285714,0.631728045325779,0.662011173184358,0.651785714285714,0.681198910081744,0.658263305322129,0.632876712328767,0.614958448753463,0.629120879120879,0.706849315068493,0.649171270718232,0.660869565217391,0.668555240793201,0.641095890410959,0.616402116402116,0.66027397260274,0.716463414634146
CML103/B73 NIL-1152,CML103,0.953846153846154,CML103,0.596830985915493,0.665727767758788,0.700342465753425,0.0321043712887418,0.700342465753425,0.953846153846154,0.647686832740214,0.610412926391382,0.596830985915493,0.671844660194175,0.618881118881119,0.64,0.680221811460259,0.659611992945326,0.667253521126761,0.685251798561151,0.69844020797227,0.692870201096892,0.697297297297297,0.690777576853526,0.693493150684932,0.681184668989547,0.650698602794411
CML103/B73 NIL-1153,CML103,1,CML103,0.630102040816326,0.676009291308992,0.71039603960396,0.0230004602098194,0.665036674816626,1,0.69250645994832,0.640826873385013,0.630102040816326,0.70391061452514,0.669191919191919,0.672176308539945,0.701799485861183,0.668380462724936,0.673469387755102,0.673575129533679,0.670025188916877,0.68586387434555,0.700787401574803,0.703125,0.71039603960396,0.6525,0.654494382022472
CML103/B73 NIL-1158,CML103,0.995305164319249,Tzi8,0.654545454545455,0.701251662493051,0.742222222222222,0.0245773914823762,0.700854700854701,0.716157205240175,0.704545454545455,0.736111111111111,0.692640692640693,0.708920187793427,0.668122270742358,0.674311926605505,0.70353982300885,0.654545454545455,0.68141592920354,0.705357142857143,0.716157205240175,0.742222222222222,0.663677130044843,0.721973094170404,0.709251101321586,0.722727272727273,0.995305164319249
CML103/B73 NIL-1160,CML103,0.967479674796748,CML103,0.61304347826087,0.683711224501654,0.764,0.0370588667804985,0.764,0.967479674796748,0.717842323651452,0.621399176954732,0.691056910569106,0.668161434977579,0.686746987951807,0.741666666666667,0.704641350210971,0.684426229508197,0.66,0.653225806451613,0.702040816326531,0.690082644628099,0.61304347826087,0.666666666666667,0.669387755102041,0.7,0.672413793103448
