bgi_id	nil_id
BGI08_3h	CML52/B73 NIL-1070
BGI08_4a	CML52/B73 NIL-1076
BGI08_4b	CML52/B73 NIL-1079
BGI4-F02	CML52/B73 NIL-1083
BGI4-G02	CML52/B73 NIL-1086
BGI4-H02	CML52/B73 NIL-1088
BGI4-A03	CML52/B73 NIL-1103
BGI4-B03	CML52/B73 NIL-1112
BGI4-C03	CML52/B73 NIL-1114
BGI10_09a	CML52/B73 NIL-1117
BGI4-D03	CML52/B73 NIL-1127
BGI10_12b	CML52/B73 NIL-1134
BGI4-E03	CML52/B73 NIL-1160
BGI4-F03	CML52/B73 NIL-1164
BGI4-G03	CML52/B73 NIL-1165
BGI10_12c	CML52/B73 NIL-1167
BGI4-H03	CML52/B73 NIL-1168
BGI4-A04	CML52/B73 NIL-1175
BGI4-B04	CML52/B73 NIL-1181
BGI4-C04	CML52/B73 NIL-1192
BGI4-D04	CML52/B73 NIL-1204
BGI10_12d	CML52/B73 NIL-1207
BGI4-E04	CML52/B73 NIL-1209
BGI4-F04	CML52/B73 NIL-1214A
BGI4-G04	CML52/B73 NIL-1214B
BGI4-H04	CML52/B73 NIL-1233
BGI4-A05	CML52/B73 NIL-1235
BGI4-B05	CML52/B73 NIL-1236
BGI10_12e	CML52/B73 NIL-1237
BGI4-C05	CML52/B73 NIL-1244
BGI4-D05	CML52/B73 NIL-1271
BGI10_12g	CML52/B73 NIL-1287
BGI4-E05	CML52/B73 NIL-1292
BGI4-F05	CML52/B73 NIL-1294
BGI4-G05	CML52/B73 NIL-1313
BGI4-H05	CML52/B73 NIL-1314
BGI05_1b	CML52/B73 NIL-1317
BGI4-A06	CML52/B73 NIL-1319
BGI4-B06	CML52/B73 NIL-1321
BGI4-C06	CML52/B73 NIL-1322
BGI10_12h	CML52/B73 NIL-1327
BGI11_01a	CML52/B73 NIL-1357
BGI4-D06	CML52/B73 NIL-1007
BGI4-E06	CML52/B73 NIL-1015C
BGI4-F06	CML52/B73 NIL-1228
BGI4-G06	CML69/B73 NIL-1002
BGI11_01b	CML69/B73 NIL-1005
BGI4-H06	CML69/B73 NIL-1007
BGI4-A07	CML69/B73 NIL-1016
BGI4-B07	CML69/B73 NIL-1018
BGI4-C07	CML69/B73 NIL-1019
BGI4-D07	CML69/B73 NIL-1026
BGI4-E07	CML69/B73 NIL-1029
BGI4-F07	CML69/B73 NIL-1038
BGI4-G07	CML69/B73 NIL-1042
BGI4-H07	CML69/B73 NIL-1043
BGI05_1c	CML69/B73 NIL-1046
BGI4-A08	CML69/B73 NIL-1050
BGI4-B08	CML69/B73 NIL-1063
BGI4-C08	CML69/B73 NIL-1065
BGI4-D08	CML69/B73 NIL-1066
BGI4-E08	CML69/B73 NIL-1068
BGI4-F08	CML69/B73 NIL-1070
BGI11_01c	CML69/B73 NIL-1073
BGI4-G08	CML69/B73 NIL-1077
