,Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
329,CML52/B73 NIL-1007,CML52,2,1,1,1,NC358
330,CML52/B73 NIL-1010A,CML52,1,0,0,1,CML52
331,CML52/B73 NIL-1010B,CML52,2,0,0,1,CML52
332,CML52/B73 NIL-1011,CML52,2,0,2,0,NA
333,CML52/B73 NIL-1015A,CML52,1,0,0,1,CML52
334,CML52/B73 NIL-1020,CML52,2,0,0,1,CML52
335,CML52/B73 NIL-1024,CML52,2,0,0,1,CML52
336,CML52/B73 NIL-1035,CML52,4,0,0,1,CML52
337,CML52/B73 NIL-1043,CML52,2,0,0,1,CML52
338,CML52/B73 NIL-1060,CML52,1,0,1,0,NA
339,CML52/B73 NIL-1063,CML52,3,3,0,1,NC358
340,CML52/B73 NIL-1065,CML52,4,3,1,1,NC358
341,CML52/B73 NIL-1069,CML52,4,3,1,1,NC358
342,CML52/B73 NIL-1070,CML52,2,2,0,1,NC358
343,CML52/B73 NIL-1076,CML52,3,0,1,1,CML52
344,CML52/B73 NIL-1079,CML52,2,2,0,1,NC358
345,CML52/B73 NIL-1083,CML52,2,2,0,1,NC358
346,CML52/B73 NIL-1086,CML52,3,3,0,2,NC358/B73
347,CML52/B73 NIL-1088,CML52,1,1,0,1,NC358
348,CML52/B73 NIL-1103,CML52,3,0,1,1,CML52
349,CML52/B73 NIL-1117,CML52,2,0,1,1,CML52
350,CML52/B73 NIL-1127,CML52,3,3,0,1,NC358
351,CML52/B73 NIL-1134,CML52,2,1,1,1,Oh43
352,CML52/B73 NIL-1160,CML52,2,0,1,1,CML52
353,CML52/B73 NIL-1164,CML52,2,2,0,1,NC358
354,CML52/B73 NIL-1165,CML52,3,1,0,2,NC358/CML52
355,CML52/B73 NIL-1167,CML52,1,0,1,0,NA
356,CML52/B73 NIL-1168,CML52,5,2,3,1,B73
357,CML52/B73 NIL-1175,CML52,2,1,1,1,NC358
358,CML52/B73 NIL-1181,CML52,4,2,2,1,NC358
359,CML52/B73 NIL-1192,CML52,1,1,0,1,NC358
360,CML52/B73 NIL-1204,CML52,3,3,0,1,CML69
361,CML52/B73 NIL-1207,CML52,1,1,0,1,Oh43
362,CML52/B73 NIL-1209,CML52,2,2,0,1,CML69
363,CML52/B73 NIL-1214A,CML52,1,1,0,1,NC358
364,CML52/B73 NIL-1214B,CML52,2,1,1,1,NC358
365,CML52/B73 NIL-1228,CML52,2,1,0,2,NC350/CML52
366,CML52/B73 NIL-1233,CML52,1,0,1,0,NA
367,CML52/B73 NIL-1235,CML52,1,0,1,0,NA
368,CML52/B73 NIL-1236,CML52,1,0,1,0,NA
